time,open,high,low,close
2022-07-23T09:00:00+01:00,1579,1587.53,1520.09,1522.03
2022-07-23T13:00:00+01:00,1523.66,1536.77,1507.36,1524.1
2022-07-23T17:00:00+01:00,1523.29,1532.84,1491.38,1513.61
2022-07-23T21:00:00+01:00,1513.14,1555.4,1513.09,1549.25
2022-07-24T01:00:00+01:00,1549.52,1576.28,1547.79,1551.92
2022-07-24T05:00:00+01:00,1552.21,1619.08,1547.12,1604.96
2022-07-24T09:00:00+01:00,1606.85,1626.67,1581.11,1615.98
2022-07-24T13:00:00+01:00,1618.67,1620.29,1575.81,1612.57
2022-07-24T17:00:00+01:00,1612.97,1615.28,1585.36,1603.57
2022-07-24T21:00:00+01:00,1603.17,1663.02,1591.91,1598.34
2022-07-25T01:00:00+01:00,1598.76,1608.79,1503.16,1511
2022-07-25T05:00:00+01:00,1511.35,1529.26,1501.12,1522.98
2022-07-25T09:00:00+01:00,1522.95,1552.07,1512.86,1537.27
2022-07-25T13:00:00+01:00,1537.22,1538.08,1503.53,1526.55
2022-07-25T17:00:00+01:00,1526.51,1534.61,1457.37,1495.46
2022-07-25T21:00:00+01:00,1496.21,1537.65,1438.58,1440.41
2022-07-26T01:00:00+01:00,1436.44,1447.6,1403.58,1433.09
2022-07-26T05:00:00+01:00,1433.18,1437.8,1408.3,1409.48
2022-07-26T09:00:00+01:00,1409.34,1423.51,1389.07,1406.12
2022-07-26T13:00:00+01:00,1406.61,1419.14,1366.16,1369.04
2022-07-26T17:00:00+01:00,1368.83,1395.3,1358.72,1366.92
2022-07-26T21:00:00+01:00,1366.78,1453.72,1357.63,1449.78
2022-07-27T01:00:00+01:00,1450.72,1458.02,1421.74,1424.44
2022-07-27T05:00:00+01:00,1424.55,1470.17,1423.1,1464.53
2022-07-27T09:00:00+01:00,1464.55,1473.11,1450.66,1452.73
2022-07-27T13:00:00+01:00,1450.89,1497.31,1447.23,1490.64
2022-07-27T17:00:00+01:00,1489.99,1612.01,1479.6,1587.87
2022-07-27T21:00:00+01:00,1588.01,1642.51,1587.56,1636.56
2022-07-28T01:00:00+01:00,1638.91,1674.32,1606.43,1648.94
2022-07-28T05:00:00+01:00,1649.3,1654.09,1614.61,1618.57
2022-07-28T09:00:00+01:00,1619.24,1642.95,1602.99,1641.61
2022-07-28T13:00:00+01:00,1641.17,1752.37,1598.28,1728.27
2022-07-28T17:00:00+01:00,1725.81,1750.24,1714.13,1726.01
2022-07-28T21:00:00+01:00,1725.94,1783.29,1715.02,1725.38
2022-07-29T01:00:00+01:00,1726.08,1732.66,1697.5,1728.07
2022-07-29T05:00:00+01:00,1727.61,1751.84,1706.86,1715.65
2022-07-29T09:00:00+01:00,1716.13,1734.04,1669.86,1682.52
2022-07-29T13:00:00+01:00,1682.7,1746.65,1658.16,1722.03
2022-07-29T17:00:00+01:00,1722.3,1734.66,1669.82,1724.35
2022-07-29T21:00:00+01:00,1724.47,1766.58,1704.29,1722.77
2022-07-30T01:00:00+01:00,1724.01,1735.75,1688.48,1707.99
2022-07-30T05:00:00+01:00,1708.14,1720.38,1692.42,1715.81
2022-07-30T09:00:00+01:00,1716.55,1722.7,1678.69,1705.58
2022-07-30T13:00:00+01:00,1705.49,1743.84,1699.44,1737.84
2022-07-30T17:00:00+01:00,1736.98,1737.1,1688.41,1693.22
2022-07-30T21:00:00+01:00,1691.48,1709.86,1675.34,1697.13
2022-07-31T01:00:00+01:00,1696.65,1711.52,1687.5,1694.64
2022-07-31T05:00:00+01:00,1694.82,1708.17,1690.98,1698.19
2022-07-31T09:00:00+01:00,1696.35,1722.73,1688.1,1719.46
2022-07-31T13:00:00+01:00,1719.1,1721.81,1695.97,1712.42
2022-07-31T17:00:00+01:00,1713.45,1751.82,1689.33,1717.48
2022-07-31T21:00:00+01:00,1718.34,1725.5,1667.8,1679.89
2022-08-01T01:00:00+01:00,1678.42,1704.96,1675.86,1691.9
2022-08-01T05:00:00+01:00,1693.57,1697.61,1675.26,1693.49
2022-08-01T09:00:00+01:00,1694.1,1695.55,1644.46,1669.17
2022-08-01T13:00:00+01:00,1669.58,1690.46,1639.33,1673.81
2022-08-01T17:00:00+01:00,1674.23,1674.26,1617.33,1622.97
2022-08-01T21:00:00+01:00,1622.39,1644.14,1608.2,1630.95
2022-08-02T01:00:00+01:00,1630,1656.68,1570.65,1577.98
2022-08-02T05:00:00+01:00,1577.71,1595.83,1565.9,1593.9
2022-08-02T09:00:00+01:00,1594.45,1597.68,1561.15,1587.86
2022-08-02T13:00:00+01:00,1588.12,1636.87,1565.53,1630.21
2022-08-02T17:00:00+01:00,1628.83,1678.4,1623.62,1637.05
2022-08-02T21:00:00+01:00,1637.85,1659.64,1629.49,1631.55
2022-08-03T01:00:00+01:00,1632.5,1639.1,1591.79,1620.26
2022-08-03T05:00:00+01:00,1619.5,1643.49,1614.24,1629.17
2022-08-03T09:00:00+01:00,1629.92,1671.04,1629.44,1666.42
2022-08-03T13:00:00+01:00,1666.31,1684.22,1646.39,1656.2
2022-08-03T17:00:00+01:00,1654.82,1671.27,1649.11,1654.8
2022-08-03T21:00:00+01:00,1654.48,1657.78,1609.43,1619.19
2022-08-04T01:00:00+01:00,1617.78,1659.13,1617.1,1650.4
2022-08-04T05:00:00+01:00,1650.52,1662.15,1617.36,1626.2
2022-08-04T09:00:00+01:00,1625.31,1630.93,1607.95,1616.64
2022-08-04T13:00:00+01:00,1616.82,1642.62,1598.66,1615.07
2022-08-04T17:00:00+01:00,1617.05,1623.77,1580.09,1591.34
2022-08-04T21:00:00+01:00,1591.58,1612.8,1582.04,1607.97
2022-08-05T01:00:00+01:00,1607.53,1667.88,1605.68,1659.83
2022-08-05T05:00:00+01:00,1660.28,1679.7,1647.84,1663.27
2022-08-05T09:00:00+01:00,1663.28,1716.47,1652.81,1714.37
2022-08-05T13:00:00+01:00,1714.24,1723.95,1665.02,1671.09
2022-08-05T17:00:00+01:00,1671.52,1683.56,1658.01,1682.02
2022-08-05T21:00:00+01:00,1680.87,1740,1668.1,1737.71
2022-08-06T01:00:00+01:00,1735.56,1749.96,1728.41,1735.06
2022-08-06T05:00:00+01:00,1735.09,1737.81,1715.53,1720.43
2022-08-06T09:00:00+01:00,1722.08,1724.85,1703.64,1712.59
2022-08-06T13:00:00+01:00,1713.17,1721.56,1707.58,1715.93
2022-08-06T17:00:00+01:00,1715.44,1720.47,1688.03,1715.28
2022-08-06T21:00:00+01:00,1715.82,1722.12,1688.72,1690.49
2022-08-07T01:00:00+01:00,1690.84,1698.51,1669.88,1684.86
2022-08-07T05:00:00+01:00,1685.05,1689.17,1673.97,1686.58
2022-08-07T09:00:00+01:00,1686.65,1693.53,1675.35,1693.04
2022-08-07T13:00:00+01:00,1694.31,1715.13,1693.02,1699.55
2022-08-07T17:00:00+01:00,1700.1,1721.17,1695.35,1708.47
2022-08-07T21:00:00+01:00,1708.73,1728.51,1692.04,1700.74
2022-08-08T01:00:00+01:00,1701.01,1719.16,1695.02,1710.07
2022-08-08T05:00:00+01:00,1710.07,1739.07,1709.19,1733.48
2022-08-08T09:00:00+01:00,1733.66,1792,1729.68,1789.37
2022-08-08T13:00:00+01:00,1788.88,1816.7,1768.24,1776.01
2022-08-08T17:00:00+01:00,1775.76,1786.58,1757.51,1783.98
2022-08-08T21:00:00+01:00,1783.84,1798.25,1759.86,1777.89
2022-08-09T01:00:00+01:00,1777.68,1786,1762.27,1778.85
2022-08-09T05:00:00+01:00,1779.16,1790.84,1767.4,1782.37
2022-08-09T09:00:00+01:00,1782.2,1782.9,1694.29,1704.57
