"Delta","Today","Yesterday","1 Week Ago","1 Month Ago"
0.1,70.01,70.27,71.3,75.13
0.15,65.99,66.12,67.17,71.1
0.25,60.87,61.03,62.16,66.06
0.35,58.28,58.69,59.93,63.66
0.5,56.77,57.57,59,62.58
0.65,56.73,57.79,59.25,63.32
0.75,57.88,59.03,60.3,65.34
0.85,60.95,62.28,63.01,69.76
0.9,63.65,65.14,65.43,73.36
