"Delta","Today","Yesterday","1 Week Ago","1 Month Ago"
0.1,68.61,69.53,73.46,61.96
0.15,65.51,65.73,68.15,58.38
0.25,62.21,61.5,60.91,53.86
0.35,61.38,60.28,56.72,51.73
0.5,62.32,61.35,53.46,50.83
0.65,64.58,63.87,52.12,51.29
0.75,67.25,66.25,52.44,52.43
0.85,71.92,69.81,54.59,54.91
0.9,75.48,72.36,56.76,56.96
