"Delta","31MAR23","30JUN23","29SEP23","29DEC23"
0.1,72.63,64.36,63.73,63.87
0.15,69.36,62.25,61.63,61.58
0.25,66.16,60.18,59.54,59.28
0.35,65.69,59.8,59.11,58.78
0.5,67.18,60.48,59.73,59.35
0.65,69.91,62.12,61.28,60.79
0.75,73.12,64.61,63.62,62.99
0.85,78.97,69.63,68.31,67.52
0.9,83.52,73.63,72.05,71.18
