"Delta","31MAR23","30JUN23","29SEP23"
0.1,67.04,70.55,71.13
0.15,63.45,66.14,67.38
0.25,58.7,60.92,62.85
0.35,56.11,58.71,60.84
0.5,54.34,57.87,60.03
0.65,54.03,58.2,60.55
0.75,54.88,59.5,62.07
0.85,57.39,62.97,65.69
0.9,59.6,66.08,68.77
