"Delta","31MAR23","30JUN23","29SEP23"
0.1,54.93,58.15,60.27
0.15,52.04,55.39,57.6
0.25,48.49,52.27,54.49
0.35,46.89,51.15,53.26
0.5,46.4,51.16,53.15
0.65,47.13,52.18,54.37
0.75,48.5,53.89,56.45
0.85,51.28,57.45,60.59
0.9,53.49,60.37,63.86
