"Delta","Today","Yesterday","2 Weeks Ago","1 Month Ago"
0.1,67.8,64.47,64.02,56.17
0.15,65.3,61.05,60.15,53.69
0.25,62.29,56.92,55.84,50.69
0.35,61.17,55.19,54.36,49.4
0.5,61.63,54.91,54.41,49.08
0.65,63.72,56.24,55.48,49.84
0.75,66.06,58.35,57.21,51.21
0.85,69.58,62.38,61.05,53.98
0.9,71.97,65.51,64.32,56.19
