"Delta","30JUN23","29SEP23","29DEC23","29MAR24"
0.1,67.01,67.78,67.55,68.62
0.15,64.17,64.71,64.75,67.15
0.25,60.82,61.1,61.56,64.15
0.35,59.43,59.59,60.41,61.58
0.5,59.11,59.18,60.54,59.59
0.65,59.96,60.25,62.17,61.02
0.75,61.59,62.56,64.77,64.37
0.85,65.06,67.5,69.84,69.85
0.9,67.87,71.49,73.8,73.43
