"Delta","31MAR23","30JUN23","29SEP23"
0.1,62.74,71.47,71.85
0.15,59.47,67.07,68.24
0.25,55.04,61.85,63.91
0.35,52.55,59.61,61.97
0.5,50.93,58.68,61.06
0.65,50.94,58.95,61.38
0.75,52,60.32,62.88
0.85,54.48,64.03,66.72
0.9,56.5,67.36,70.05
