"Delta","Today","Yesterday","2 Weeks Ago","1 Month Ago"
0.1,71.91,72.01,70.78,66.65
0.15,68.33,68.44,65.36,62.42
0.25,64.12,64.16,58.95,57.25
0.35,62.49,62.4,56.21,54.92
0.5,62.51,62.27,55.03,53.89
0.65,64.07,63.88,55.16,53.9
0.75,66.26,66.25,56.57,54.59
0.85,70.29,70.6,60.71,56.67
0.9,73.42,73.93,64.52,58.64
