"Delta","31MAR23","30JUN23","29SEP23"
0.1,78.45,73.79,71.69
0.15,72.22,69.29,68.02
0.25,64.42,63.72,63.41
0.35,60.72,61.08,61.14
0.5,58.83,59.72,59.93
0.65,58.8,59.86,60.48
0.75,60.02,61.24,62.52
0.85,63.51,64.88,67.21
0.9,66.7,68.08,71.08
