"Delta","31MAR23","30JUN23","29SEP23","29DEC23"
0.1,36.56,65.16,64.81,65.7
0.15,34.31,62.71,62.41,63.22
0.25,31.76,60.23,60.17,60.68
0.35,30.86,59.72,59.91,60.11
0.5,30.77,60.51,60.8,60.85
0.65,31.13,62.13,62.43,62.83
0.75,31.81,64.19,64.85,65.65
0.85,33.52,68.16,69.96,71.11
0.9,35.05,71.32,74.17,75.37
