"Delta","31MAR23","30JUN23","29SEP23"
0.1,85.24,70.01,75.05
0.15,78.39,69.12,71.48
0.25,68.7,64.5,64.52
0.35,62.7,58.72,59.23
0.5,57.39,52.63,56.49
0.65,54.17,52.67,59.74
0.75,52.98,55.85,63.44
0.85,53.2,59.99,65.9
0.9,54.18,61.73,65.76
