"Delta","31MAR23","30JUN23","29SEP23","29DEC23"
0.1,37.49,70.77,70.42,69.66
0.15,35.46,67.41,67.28,66.54
0.25,33.44,63.66,63.87,63.42
0.35,32.96,62.41,62.82,62.73
0.5,33.07,62.63,63.22,63.36
0.65,33.03,64.01,64.88,64.94
0.75,33.28,66.05,67.32,67.53
0.85,34.68,70.19,72.18,73.18
0.9,36.21,73.55,76.06,77.89
