"Delta","Today","Yesterday","1 Week Ago","1 Month Ago"
0.1,60.2,64.68,63.81,66.84
0.15,57.56,61.22,60.25,63.95
0.25,54.41,57.16,56.03,60.58
0.35,53.09,55.55,54.26,59.25
0.5,52.83,55.35,53.65,59.09
0.65,53.78,56.48,54.11,60.12
0.75,55.43,58.33,55.36,61.86
0.85,58.71,62.05,58.42,65.39
0.9,61.31,65.05,61.08,68.22
